Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
263514,Photographs,Photograph,Robert Motherwell,,American,1970-01-01 00:00:00.000001981,1970-01-01 00:00:00.000001981,Gelatin silver print,"Gift of the artist, 1983",
265758,Photographs,Photograph,[Graffiti on Backstage Door of the School of American Ballet],,American,1970-01-01 00:00:00.000001945,1970-01-01 00:00:00.000001945,Gelatin silver print,"Gift of Paul F. Walter, in memory of Christopher Hemphill, 1987",
266167,Photographs,Photograph,[Study of Australian Grapes],,,1970-01-01 00:00:00.000001858,1970-01-01 00:00:00.000001862,Albumen silver print from glass negative,"Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1989",
269735,Photographs,Photograph,Sous bois,,Belgian,1970-01-01 00:00:00.000001922,1970-01-01 00:00:00.000001922,Bromoil print,"Gift of Clarence McK. Lewis, 1954",
271904,Photographs,Glass positive,Margaret Eakins,,American,1970-01-01 00:00:00.000001880,1970-01-01 00:00:00.000001889,Glass positive,"Gift of Charles Bregler, 1947",
273592,Photographs,Negative,[Peggy Bacon],,American,1970-01-01 00:00:00.000001934,1970-01-01 00:00:00.000001934,Film negative,"Walker Evans Archive, 1994",
276937,Photographs,Negative,"[Two 35mm Film Frames: Boys Playing on Stoop Near Elevated Train Tracks, New York City]",,American,1970-01-01 00:00:00.000001933,1970-01-01 00:00:00.000001934,Film negative,"Walker Evans Archive, 1994",
286197,Photographs,Photograph,"Rouen, Place Eau-de-Robec",,French,1970-01-01 00:00:00.000001908,1970-01-01 00:00:00.000001908,Matte albumen silver print from glass negative,"Gilman Collection, Purchase, Sam Salz Foundation Gift, 2005",
311479,"Arts of Africa, Oceania, and the Americas",Horn,Horn,Asmat people,,1970-01-01 00:00:00.000001900,1970-01-01 00:00:00.000002000,Bamboo,"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",Indonesia
312687,"Arts of Africa, Oceania, and the Americas",Snake figure,Coiled Serpent,Aztec,,1970-01-01 00:00:00.000001400,1970-01-01 00:00:00.000001600,"Stone, pigment","The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Mexico
313019,"Arts of Africa, Oceania, and the Americas",Pendant,Figure Pendant,Atlantic Watershed,,1970-01-01 00:00:00.000000300,1970-01-01 00:00:00.000000800,Jadeite,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Costa Rica
